"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Insured!!Estimate","Baldwin County, Alabama!!Percent Insured!!Estimate","Baldwin County, Alabama!!Uninsured!!Estimate","Baldwin County, Alabama!!Percent Uninsured!!Estimate","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Insured!!Estimate","Calhoun County, Alabama!!Percent Insured!!Estimate","Calhoun County, Alabama!!Uninsured!!Estimate","Calhoun County, Alabama!!Percent Uninsured!!Estimate","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Insured!!Estimate","Cullman County, Alabama!!Percent Insured!!Estimate","Cullman County, Alabama!!Uninsured!!Estimate","Cullman County, Alabama!!Percent Uninsured!!Estimate","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Insured!!Estimate","DeKalb County, Alabama!!Percent Insured!!Estimate","DeKalb County, Alabama!!Uninsured!!Estimate","DeKalb County, Alabama!!Percent Uninsured!!Estimate","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Insured!!Estimate","Elmore County, Alabama!!Percent Insured!!Estimate","Elmore County, Alabama!!Uninsured!!Estimate","Elmore County, Alabama!!Percent Uninsured!!Estimate","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Insured!!Estimate","Etowah County, Alabama!!Percent Insured!!Estimate","Etowah County, Alabama!!Uninsured!!Estimate","Etowah County, Alabama!!Percent Uninsured!!Estimate","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Insured!!Estimate","Houston County, Alabama!!Percent Insured!!Estimate","Houston County, Alabama!!Uninsured!!Estimate","Houston County, Alabama!!Percent Uninsured!!Estimate","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Insured!!Estimate","Jefferson County, Alabama!!Percent Insured!!Estimate","Jefferson County, Alabama!!Uninsured!!Estimate","Jefferson County, Alabama!!Percent Uninsured!!Estimate","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Insured!!Estimate","Lauderdale County, Alabama!!Percent Insured!!Estimate","Lauderdale County, Alabama!!Uninsured!!Estimate","Lauderdale County, Alabama!!Percent Uninsured!!Estimate","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Insured!!Estimate","Lee County, Alabama!!Percent Insured!!Estimate","Lee County, Alabama!!Uninsured!!Estimate","Lee County, Alabama!!Percent Uninsured!!Estimate","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Insured!!Estimate","Limestone County, Alabama!!Percent Insured!!Estimate","Limestone County, Alabama!!Uninsured!!Estimate","Limestone County, Alabama!!Percent Uninsured!!Estimate","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Insured!!Estimate","Madison County, Alabama!!Percent Insured!!Estimate","Madison County, Alabama!!Uninsured!!Estimate","Madison County, Alabama!!Percent Uninsured!!Estimate","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Insured!!Estimate","Marshall County, Alabama!!Percent Insured!!Estimate","Marshall County, Alabama!!Uninsured!!Estimate","Marshall County, Alabama!!Percent Uninsured!!Estimate","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Insured!!Estimate","Mobile County, Alabama!!Percent Insured!!Estimate","Mobile County, Alabama!!Uninsured!!Estimate","Mobile County, Alabama!!Percent Uninsured!!Estimate","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Insured!!Estimate","Montgomery County, Alabama!!Percent Insured!!Estimate","Montgomery County, Alabama!!Uninsured!!Estimate","Montgomery County, Alabama!!Percent Uninsured!!Estimate","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Insured!!Estimate","Morgan County, Alabama!!Percent Insured!!Estimate","Morgan County, Alabama!!Uninsured!!Estimate","Morgan County, Alabama!!Percent Uninsured!!Estimate","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Insured!!Estimate","St. Clair County, Alabama!!Percent Insured!!Estimate","St. Clair County, Alabama!!Uninsured!!Estimate","St. Clair County, Alabama!!Percent Uninsured!!Estimate","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Insured!!Estimate","Shelby County, Alabama!!Percent Insured!!Estimate","Shelby County, Alabama!!Uninsured!!Estimate","Shelby County, Alabama!!Percent Uninsured!!Estimate","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Insured!!Estimate","Talladega County, Alabama!!Percent Insured!!Estimate","Talladega County, Alabama!!Uninsured!!Estimate","Talladega County, Alabama!!Percent Uninsured!!Estimate","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Insured!!Estimate","Tuscaloosa County, Alabama!!Percent Insured!!Estimate","Tuscaloosa County, Alabama!!Uninsured!!Estimate","Tuscaloosa County, Alabama!!Percent Uninsured!!Estimate","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Insured!!Estimate","Walker County, Alabama!!Percent Insured!!Estimate","Walker County, Alabama!!Uninsured!!Estimate","Walker County, Alabama!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"        Civilian noninstitutionalized population 19 to 64 years","124,972","108,740","87.0%","16,232","13.0%","65,743","54,462","82.8%","11,281","17.2%","48,208","39,959","82.9%","8,249","17.1%","40,114","30,997","77.3%","9,117","22.7%","44,079","40,518","91.9%","3,561","8.1%","59,085","48,179","81.5%","10,906","18.5%","60,228","47,622","79.1%","12,606","20.9%","389,292","332,980","85.5%","56,312","14.5%","52,817","43,762","82.9%","9,055","17.1%","104,510","93,620","89.6%","10,890","10.4%","55,812","46,106","82.6%","9,706","17.4%","224,914","199,714","88.8%","25,200","11.2%","54,406","43,652","80.2%","10,754","19.8%","240,303","196,707","81.9%","43,596","18.1%","128,554","109,275","85.0%","19,279","15.0%","68,434","58,346","85.3%","10,088","14.7%","51,680","46,595","90.2%","5,085","9.8%","127,676","114,398","89.6%","13,278","10.4%","44,357","37,311","84.1%","7,046","15.9%","131,034","118,154","90.2%","12,880","9.8%","36,369","28,436","78.2%","7,933","21.8%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"            In labor force","90,949","79,062","86.9%","11,887","13.1%","44,939","37,585","83.6%","7,354","16.4%","35,542","29,177","82.1%","6,365","17.9%","30,658","24,129","78.7%","6,529","21.3%","33,639","31,019","92.2%","2,620","7.8%","42,140","34,703","82.4%","7,437","17.6%","42,051","33,200","79.0%","8,851","21.0%","293,839","255,147","86.8%","38,692","13.2%","37,987","31,049","81.7%","6,938","18.3%","76,879","69,773","90.8%","7,106","9.2%","37,810","31,155","82.4%","6,655","17.6%","178,947","159,211","89.0%","19,736","11.0%","39,133","32,213","82.3%","6,920","17.7%","173,500","145,450","83.8%","28,050","16.2%","99,910","86,148","86.2%","13,762","13.8%","52,216","45,584","87.3%","6,632","12.7%","40,170","36,546","91.0%","3,624","9.0%","103,575","94,307","91.1%","9,268","8.9%","31,810","27,131","85.3%","4,679","14.7%","92,222","83,779","90.8%","8,443","9.2%","24,763","19,962","80.6%","4,801","19.4%","151,909,747","133,276,510","87.7%","18,633,237","12.3%"
"                Employed","85,619","75,310","88.0%","10,309","12.0%","42,227","36,595","86.7%","5,632","13.3%","34,315","28,564","83.2%","5,751","16.8%","29,238","24,034","82.2%","5,204","17.8%","32,792","30,798","93.9%","1,994","6.1%","39,386","33,275","84.5%","6,111","15.5%","39,368","31,697","80.5%","7,671","19.5%","279,829","247,426","88.4%","32,403","11.6%","36,237","30,175","83.3%","6,062","16.7%","74,152","67,866","91.5%","6,286","8.5%","36,537","30,587","83.7%","5,950","16.3%","172,809","155,611","90.0%","17,198","10.0%","38,340","31,575","82.4%","6,765","17.6%","163,956","139,900","85.3%","24,056","14.7%","94,578","82,246","87.0%","12,332","13.0%","49,050","43,661","89.0%","5,389","11.0%","38,469","36,110","93.9%","2,359","6.1%","100,024","92,217","92.2%","7,807","7.8%","29,048","25,769","88.7%","3,279","11.3%","88,728","81,563","91.9%","7,165","8.1%","23,228","19,275","83.0%","3,953","17.0%","145,378,445","128,593,858","88.5%","16,784,587","11.5%"
"                Unemployed","5,330","3,752","70.4%","1,578","29.6%","2,712","990","36.5%","1,722","63.5%","1,227","613","50.0%","614","50.0%","1,420","95","6.7%","1,325","93.3%","847","221","26.1%","626","73.9%","2,754","1,428","51.9%","1,326","48.1%","2,683","1,503","56.0%","1,180","44.0%","14,010","7,721","55.1%","6,289","44.9%","1,750","874","49.9%","876","50.1%","2,727","1,907","69.9%","820","30.1%","1,273","568","44.6%","705","55.4%","6,138","3,600","58.7%","2,538","41.3%","793","638","80.5%","155","19.5%","9,544","5,550","58.2%","3,994","41.8%","5,332","3,902","73.2%","1,430","26.8%","3,166","1,923","60.7%","1,243","39.3%","1,701","436","25.6%","1,265","74.4%","3,551","2,090","58.9%","1,461","41.1%","2,762","1,362","49.3%","1,400","50.7%","3,494","2,216","63.4%","1,278","36.6%","1,535","687","44.8%","848","55.2%","6,531,302","4,682,652","71.7%","1,848,650","28.3%"
"            Not in labor force","34,023","29,678","87.2%","4,345","12.8%","20,804","16,877","81.1%","3,927","18.9%","12,666","10,782","85.1%","1,884","14.9%","9,456","6,868","72.6%","2,588","27.4%","10,440","9,499","91.0%","941","9.0%","16,945","13,476","79.5%","3,469","20.5%","18,177","14,422","79.3%","3,755","20.7%","95,453","77,833","81.5%","17,620","18.5%","14,830","12,713","85.7%","2,117","14.3%","27,631","23,847","86.3%","3,784","13.7%","18,002","14,951","83.1%","3,051","16.9%","45,967","40,503","88.1%","5,464","11.9%","15,273","11,439","74.9%","3,834","25.1%","66,803","51,257","76.7%","15,546","23.3%","28,644","23,127","80.7%","5,517","19.3%","16,218","12,762","78.7%","3,456","21.3%","11,510","10,049","87.3%","1,461","12.7%","24,101","20,091","83.4%","4,010","16.6%","12,547","10,180","81.1%","2,367","18.9%","38,812","34,375","88.6%","4,437","11.4%","11,606","8,474","73.0%","3,132","27.0%","41,078,082","34,859,419","84.9%","6,218,663","15.1%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","124,972","108,740","87.0%","16,232","13.0%","65,743","54,462","82.8%","11,281","17.2%","48,208","39,959","82.9%","8,249","17.1%","40,114","30,997","77.3%","9,117","22.7%","44,079","40,518","91.9%","3,561","8.1%","59,085","48,179","81.5%","10,906","18.5%","60,228","47,622","79.1%","12,606","20.9%","389,292","332,980","85.5%","56,312","14.5%","52,817","43,762","82.9%","9,055","17.1%","104,510","93,620","89.6%","10,890","10.4%","55,812","46,106","82.6%","9,706","17.4%","224,914","199,714","88.8%","25,200","11.2%","54,406","43,652","80.2%","10,754","19.8%","240,303","196,707","81.9%","43,596","18.1%","128,554","109,275","85.0%","19,279","15.0%","68,434","58,346","85.3%","10,088","14.7%","51,680","46,595","90.2%","5,085","9.8%","127,676","114,398","89.6%","13,278","10.4%","44,357","37,311","84.1%","7,046","15.9%","131,034","118,154","90.2%","12,880","9.8%","36,369","28,436","78.2%","7,933","21.8%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"            Worked full-time, year round in the past 12 months","64,864","58,861","90.7%","6,003","9.3%","31,388","28,380","90.4%","3,008","9.6%","25,823","22,176","85.9%","3,647","14.1%","21,614","19,296","89.3%","2,318","10.7%","27,513","26,310","95.6%","1,203","4.4%","30,000","26,076","86.9%","3,924","13.1%","30,865","26,191","84.9%","4,674","15.1%","217,388","197,454","90.8%","19,934","9.2%","25,562","21,760","85.1%","3,802","14.9%","54,674","49,713","90.9%","4,961","9.1%","29,564","25,506","86.3%","4,058","13.7%","133,147","122,376","91.9%","10,771","8.1%","28,335","23,822","84.1%","4,513","15.9%","130,617","114,714","87.8%","15,903","12.2%","74,985","67,281","89.7%","7,704","10.3%","39,286","36,309","92.4%","2,977","7.6%","31,716","30,078","94.8%","1,638","5.2%","76,546","71,347","93.2%","5,199","6.8%","21,892","19,759","90.3%","2,133","9.7%","67,360","62,874","93.3%","4,486","6.7%","18,349","15,489","84.4%","2,860","15.6%","109,214,198","98,095,694","89.8%","11,118,504","10.2%"
"            Worked less than full-time, year round in the past 12 months","27,923","22,637","81.1%","5,286","18.9%","15,340","11,125","72.5%","4,215","27.5%","11,252","8,175","72.7%","3,077","27.3%","9,651","5,423","56.2%","4,228","43.8%","6,934","5,386","77.7%","1,548","22.3%","13,014","9,158","70.4%","3,856","29.6%","12,096","7,538","62.3%","4,558","37.7%","79,520","62,640","78.8%","16,880","21.2%","13,695","10,709","78.2%","2,986","21.8%","27,261","24,989","91.7%","2,272","8.3%","10,393","7,210","69.4%","3,183","30.6%","48,144","39,522","82.1%","8,622","17.9%","11,879","8,776","73.9%","3,103","26.1%","44,587","32,192","72.2%","12,395","27.8%","28,068","20,736","73.9%","7,332","26.1%","12,319","9,158","74.3%","3,161","25.7%","8,277","6,904","83.4%","1,373","16.6%","28,955","25,145","86.8%","3,810","13.2%","10,080","7,586","75.3%","2,494","24.7%","32,321","28,551","88.3%","3,770","11.7%","6,653","5,129","77.1%","1,524","22.9%","46,115,530","38,369,726","83.2%","7,745,804","16.8%"
"            Did not work","32,185","27,242","84.6%","4,943","15.4%","19,015","14,957","78.7%","4,058","21.3%","11,133","9,608","86.3%","1,525","13.7%","8,849","6,278","70.9%","2,571","29.1%","9,632","8,822","91.6%","810","8.4%","16,071","12,945","80.5%","3,126","19.5%","17,267","13,893","80.5%","3,374","19.5%","92,384","72,886","78.9%","19,498","21.1%","13,560","11,293","83.3%","2,267","16.7%","22,575","18,918","83.8%","3,657","16.2%","15,855","13,390","84.5%","2,465","15.5%","43,623","37,816","86.7%","5,807","13.3%","14,192","11,054","77.9%","3,138","22.1%","65,099","49,801","76.5%","15,298","23.5%","25,501","21,258","83.4%","4,243","16.6%","16,829","12,879","76.5%","3,950","23.5%","11,687","9,613","82.3%","2,074","17.7%","22,175","17,906","80.7%","4,269","19.3%","12,385","9,966","80.5%","2,419","19.5%","31,353","26,729","85.3%","4,624","14.7%","11,367","7,818","68.8%","3,549","31.2%","37,658,101","31,670,509","84.1%","5,987,592","15.9%"
"    HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total household population","220,247","202,428","91.9%","17,819","8.1%","109,308","97,275","89.0%","12,033","11.0%","82,467","73,730","89.4%","8,737","10.6%","70,154","60,231","85.9%","9,923","14.1%","75,409","70,910","94.0%","4,499","6.0%","100,999","87,744","86.9%","13,255","13.1%","104,377","90,988","87.2%","13,389","12.8%","642,964","582,913","90.7%","60,051","9.3%","90,865","80,293","88.4%","10,572","11.6%","158,336","147,173","92.9%","11,163","7.1%","95,501","84,338","88.3%","11,163","11.7%","362,024","335,120","92.6%","26,904","7.4%","95,745","84,595","88.4%","11,150","11.6%","406,256","360,060","88.6%","46,196","11.4%","216,789","196,503","90.6%","20,286","9.4%","117,661","105,689","89.8%","11,972","10.2%","87,300","82,039","94.0%","5,261","6.0%","214,381","200,152","93.4%","14,229","6.6%","76,141","68,672","90.2%","7,469","9.8%","199,494","185,014","92.7%","14,480","7.3%","62,570","51,079","81.6%","11,491","18.4%","319,261,418","289,929,027","90.8%","29,332,391","9.2%"
"            Under $25,000","28,456","24,708","86.8%","3,748","13.2%","21,181","16,724","79.0%","4,457","21.0%","9,454","7,764","82.1%","1,690","17.9%","16,269","12,327","75.8%","3,942","24.2%","8,697","7,919","91.1%","778","8.9%","24,089","17,743","73.7%","6,346","26.3%","21,698","17,518","80.7%","4,180","19.3%","113,215","97,811","86.4%","15,404","13.6%","16,789","13,822","82.3%","2,967","17.7%","31,069","27,896","89.8%","3,173","10.2%","13,008","11,878","91.3%","1,130","8.7%","48,232","38,365","79.5%","9,867","20.5%","16,943","13,723","81.0%","3,220","19.0%","80,370","65,650","81.7%","14,720","18.3%","33,738","28,062","83.2%","5,676","16.8%","17,738","15,177","85.6%","2,561","14.4%","9,207","7,960","86.5%","1,247","13.5%","17,361","15,568","89.7%","1,793","10.3%","15,284","12,273","80.3%","3,011","19.7%","33,364","29,884","89.6%","3,480","10.4%","13,370","9,209","68.9%","4,161","31.1%","40,323,295","34,899,277","86.5%","5,424,018","13.5%"
"            $25,000 to $49,999","52,417","46,458","88.6%","5,959","11.4%","25,575","22,678","88.7%","2,897","11.3%","18,678","16,656","89.2%","2,022","10.8%","15,522","13,731","88.5%","1,791","11.5%","15,217","13,493","88.7%","1,724","11.3%","24,693","21,305","86.3%","3,388","13.7%","23,680","19,471","82.2%","4,209","17.8%","139,325","117,990","84.7%","21,335","15.3%","22,619","18,496","81.8%","4,123","18.2%","26,823","23,806","88.8%","3,017","11.2%","17,123","14,940","87.3%","2,183","12.7%","64,042","57,779","90.2%","6,263","9.8%","22,741","18,289","80.4%","4,452","19.6%","90,060","79,263","88.0%","10,797","12.0%","50,272","44,303","88.1%","5,969","11.9%","25,255","21,381","84.7%","3,874","15.3%","17,134","15,459","90.2%","1,675","9.8%","31,486","28,706","91.2%","2,780","8.8%","14,852","13,307","89.6%","1,545","10.4%","48,389","44,273","91.5%","4,116","8.5%","15,599","11,706","75.0%","3,893","25.0%","56,551,992","48,692,982","86.1%","7,859,010","13.9%"
"            $50,000 to $74,999","26,888","24,647","91.7%","2,241","8.3%","21,638","18,484","85.4%","3,154","14.6%","23,542","21,335","90.6%","2,207","9.4%","16,053","14,644","91.2%","1,409","8.8%","15,246","14,469","94.9%","777","5.1%","20,113","18,278","90.9%","1,835","9.1%","21,341","18,533","86.8%","2,808","13.2%","109,246","98,570","90.2%","10,676","9.8%","15,023","13,848","92.2%","1,175","7.8%","31,965","29,224","91.4%","2,741","8.6%","19,333","15,999","82.8%","3,334","17.2%","49,826","45,596","91.5%","4,230","8.5%","24,235","22,121","91.3%","2,114","8.7%","89,261","77,370","86.7%","11,891","13.3%","45,930","42,238","92.0%","3,692","8.0%","24,551","21,169","86.2%","3,382","13.8%","17,305","16,118","93.1%","1,187","6.9%","38,222","33,957","88.8%","4,265","11.2%","15,043","14,081","93.6%","962","6.4%","37,051","33,268","89.8%","3,783","10.2%","11,310","9,508","84.1%","1,802","15.9%","54,772,904","48,508,928","88.6%","6,263,976","11.4%"
"            $75,000 to $99,999","35,705","32,639","91.4%","3,066","8.6%","14,995","13,940","93.0%","1,055","7.0%","15,686","13,766","87.8%","1,920","12.2%","8,925","7,391","82.8%","1,534","17.2%","9,604","8,855","92.2%","749","7.8%","11,232","9,967","88.7%","1,265","11.3%","10,882","10,106","92.9%","776","7.1%","72,085","67,194","93.2%","4,891","6.8%","16,025","15,210","94.9%","815","5.1%","18,673","17,081","91.5%","1,592","8.5%","12,928","12,051","93.2%","877","6.8%","50,746","48,420","95.4%","2,326","4.6%","13,145","12,667","96.4%","478","3.6%","50,748","47,096","92.8%","3,652","7.2%","26,660","24,849","93.2%","1,811","6.8%","18,172","16,533","91.0%","1,639","9.0%","11,663","11,211","96.1%","452","3.9%","29,926","28,460","95.1%","1,466","4.9%","12,092","11,368","94.0%","724","6.0%","20,439","18,671","91.3%","1,768","8.7%","8,350","7,632","91.4%","718","8.6%","44,885,818","41,020,936","91.4%","3,864,882","8.6%"
"            $100,000 and over","76,781","73,976","96.3%","2,805","3.7%","25,919","25,449","98.2%","470","1.8%","15,107","14,209","94.1%","898","5.9%","13,385","12,138","90.7%","1,247","9.3%","26,645","26,174","98.2%","471","1.8%","20,872","20,451","98.0%","421","2.0%","26,776","25,360","94.7%","1,416","5.3%","209,093","201,348","96.3%","7,745","3.7%","20,409","18,917","92.7%","1,492","7.3%","49,806","49,166","98.7%","640","1.3%","33,109","29,470","89.0%","3,639","11.0%","149,178","144,960","97.2%","4,218","2.8%","18,681","17,795","95.3%","886","4.7%","95,817","90,681","94.6%","5,136","5.4%","60,189","57,051","94.8%","3,138","5.2%","31,945","31,429","98.4%","516","1.6%","31,991","31,291","97.8%","700","2.2%","97,386","93,461","96.0%","3,925","4.0%","18,870","17,643","93.5%","1,227","6.5%","60,251","58,918","97.8%","1,333","2.2%","13,941","13,024","93.4%","917","6.6%","122,727,409","116,806,904","95.2%","5,920,505","4.8%"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","219,405","201,726","91.9%","17,679","8.1%","109,280","97,056","88.8%","12,224","11.2%","82,575","73,831","89.4%","8,744","10.6%","70,340","60,417","85.9%","9,923","14.1%","75,284","70,785","94.0%","4,499","6.0%","100,640","87,772","87.2%","12,868","12.8%","104,093","90,649","87.1%","13,444","12.9%","644,672","583,087","90.4%","61,585","9.6%","91,007","80,399","88.3%","10,608","11.7%","158,522","147,350","93.0%","11,172","7.0%","95,113","83,950","88.3%","11,163","11.7%","362,086","335,046","92.5%","27,040","7.5%","95,577","84,381","88.3%","11,196","11.7%","406,217","359,882","88.6%","46,335","11.4%","215,237","194,790","90.5%","20,447","9.5%","116,997","105,139","89.9%","11,858","10.1%","87,209","81,948","94.0%","5,261","6.0%","214,549","200,210","93.3%","14,339","6.7%","75,919","68,285","89.9%","7,634","10.1%","199,237","184,581","92.6%","14,656","7.4%","61,959","50,671","81.8%","11,288","18.2%","319,224,591","289,833,878","90.8%","29,390,713","9.2%"
"            Below 138 percent of the poverty threshold","37,334","31,595","84.6%","5,739","15.4%","28,397","22,532","79.3%","5,865","20.7%","15,261","12,984","85.1%","2,277","14.9%","18,433","13,876","75.3%","4,557","24.7%","14,649","13,432","91.7%","1,217","8.3%","26,497","19,461","73.4%","7,036","26.6%","29,348","22,763","77.6%","6,585","22.4%","153,754","129,775","84.4%","23,979","15.6%","24,649","19,446","78.9%","5,203","21.1%","36,442","31,112","85.4%","5,330","14.6%","16,354","13,805","84.4%","2,549","15.6%","62,744","50,883","81.1%","11,861","18.9%","22,098","16,138","73.0%","5,960","27.0%","101,195","82,017","81.0%","19,178","19.0%","46,167","38,142","82.6%","8,025","17.4%","26,083","20,755","79.6%","5,328","20.4%","14,874","12,786","86.0%","2,088","14.0%","20,203","17,305","85.7%","2,898","14.3%","18,840","15,062","79.9%","3,778","20.1%","46,994","41,090","87.4%","5,904","12.6%","17,657","10,691","60.5%","6,966","39.5%","58,863,556","49,529,372","84.1%","9,334,184","15.9%"
"            138 to 399 percent of the poverty threshold","92,536","84,216","91.0%","8,320","9.0%","52,335","46,640","89.1%","5,695","10.9%","46,909","41,318","88.1%","5,591","11.9%","37,785","33,796","89.4%","3,989","10.6%","30,319","27,873","91.9%","2,446","8.1%","47,971","43,154","90.0%","4,817","10.0%","41,003","35,391","86.3%","5,612","13.7%","248,694","221,078","88.9%","27,616","11.1%","37,609","34,164","90.8%","3,445","9.2%","62,629","58,294","93.1%","4,335","6.9%","44,861","38,363","85.5%","6,498","14.5%","132,944","122,103","91.8%","10,841","8.2%","49,926","45,842","91.8%","4,084","8.2%","190,007","168,584","88.7%","21,423","11.3%","97,390","88,065","90.4%","9,325","9.6%","54,816","48,831","89.1%","5,985","10.9%","39,607","37,195","93.9%","2,412","6.1%","78,482","70,687","90.1%","7,795","9.9%","35,621","33,049","92.8%","2,572","7.2%","84,614","77,340","91.4%","7,274","8.6%","27,034","23,678","87.6%","3,356","12.4%","128,036,509","113,085,314","88.3%","14,951,195","11.7%"
"            At or above 400 percent of the poverty threshold","89,535","85,915","96.0%","3,620","4.0%","28,548","27,884","97.7%","664","2.3%","20,405","19,529","95.7%","876","4.3%","14,122","12,745","90.2%","1,377","9.8%","30,316","29,480","97.2%","836","2.8%","26,172","25,157","96.1%","1,015","3.9%","33,742","32,495","96.3%","1,247","3.7%","242,224","232,234","95.9%","9,990","4.1%","28,749","26,789","93.2%","1,960","6.8%","59,451","57,944","97.5%","1,507","2.5%","33,898","31,782","93.8%","2,116","6.2%","166,398","162,060","97.4%","4,338","2.6%","23,553","22,401","95.1%","1,152","4.9%","115,015","109,281","95.0%","5,734","5.0%","71,680","68,583","95.7%","3,097","4.3%","36,098","35,553","98.5%","545","1.5%","32,728","31,967","97.7%","761","2.3%","115,864","112,218","96.9%","3,646","3.1%","21,458","20,174","94.0%","1,284","6.0%","67,629","66,151","97.8%","1,478","2.2%","17,268","16,302","94.4%","966","5.6%","132,324,526","127,219,192","96.1%","5,105,334","3.9%"
"            Below 100 percent of the poverty threshold","22,140","18,561","83.8%","3,579","16.2%","19,082","14,911","78.1%","4,171","21.9%","8,737","6,969","79.8%","1,768","20.2%","13,855","9,816","70.8%","4,039","29.2%","8,584","8,138","94.8%","446","5.2%","19,815","14,517","73.3%","5,298","26.7%","21,427","16,388","76.5%","5,039","23.5%","105,080","87,573","83.3%","17,507","16.7%","14,917","11,306","75.8%","3,611","24.2%","24,998","21,636","86.6%","3,362","13.4%","13,317","11,393","85.6%","1,924","14.4%","42,990","34,988","81.4%","8,002","18.6%","15,408","11,838","76.8%","3,570","23.2%","70,724","57,111","80.8%","13,613","19.2%","31,675","24,996","78.9%","6,679","21.1%","16,471","13,374","81.2%","3,097","18.8%","8,496","7,102","83.6%","1,394","16.4%","12,095","9,895","81.8%","2,200","18.2%","12,881","10,618","82.4%","2,263","17.6%","32,562","28,791","88.4%","3,771","11.6%","10,952","5,421","49.5%","5,531","50.5%","39,464,064","33,166,119","84.0%","6,297,945","16.0%"
